Report Number,Street Prefix,Street Name,Street Suffix,Intersecting Block Number,Intersecting Street Prefix,Intersecting Street Name,Intersecting Street Suffix,Street Description,At An Intersection,Intersecting Street Description,Crash Date/Time,Fatality,Hit And Run,Location
18-93408,,CALIFORNIA,PKWY,5600,,6TH,AVE,CONCRETE,FALSE,,10/18/2018 17:56,FALSE,FALSE,"(0, 0)"
18-91696,N,SOUTH,FWY,600,,IH 35W SB SPUR 280 WB,RAMP,,TRUE,,10/12/2018 14:25,FALSE,FALSE,"(32.74092, -97.32031)"
180093432,,WALLACE,ST,3700,,CRENSHAW,AVE,,TRUE,,10/18/2018 19:40,FALSE,FALSE,"(32.71962, -97.26926)"
18-92505,,MARTIN LUTHER KING FWY SB SR,,2000,E,ROSEDALE,ST,,TRUE,,10/15/2018 17:35,FALSE,FALSE,"(32.73164, -97.29905)"
18-94292,,WESTERN CENTER,BLVD,6500,N,RIVERSIDE,DR,,TRUE,,10/21/2018 19:42,FALSE,FALSE,"(32.8611, -97.30599)"
18-93415,,HIGHWAY 360,,14000,,TRINITY,BLVD,,TRUE,,10/18/2018 18:25,FALSE,FALSE,"(32.82283, -97.6073)"
180091963,,RANDOL CROSSING,LN,8900,,MEADOWBROOK,BLVD,APARTMENT COMPLEX ROAD,TRUE,RESIDENTIAL,10/12/2018 22:30,FALSE,TRUE,"(32.75849, -97.1598)"
18-93446,,BRENTWOOD STAIR,RD,1500,,EDERVILLE S,RD,,FALSE,,10/18/2018 20:00,FALSE,TRUE,"(32.75828, -97.25472)"
18-93391,,PRAIRIE,AVE,1500,W,LONG,AVE,,TRUE,,10/18/2018 17:27,FALSE,FALSE,"(32.80544, -97.36673)"
180091687,E,BERRY,ST,2300,,GLEN GARDEN,DR,CONCRETE,TRUE,CONCRETE,10/12/2018 14:05,FALSE,FALSE,"(32.70604, -97.35182)"
18-93259,,COMMERCE,ST,200,E,1ST,ST,,TRUE,,10/18/2018 9:06,FALSE,FALSE,"(32.75784, -97.33238)"
18-93256,,NORTH,FWY,1900,,CARVER,AVE,800 NORTH FWY SB,FALSE,1900 CARVER AVE,10/18/2018 9:13,FALSE,FALSE,"(32.77158, -97.31902)"
180091512,E,BALTIMORE,AVE,0,,MISSISSIPPI,AVE,,FALSE,,10/11/2018 22:47,FALSE,TRUE,"(32.72271, -97.31112)"
18-91712,E,IH 20,FWY,5400,,MANSFIELD,HWY,INTERSTATE HWY,FALSE,LOCAL ROAD,10/12/2018 14:51,FALSE,FALSE,"(32.66685, -97.23947)"
180091405,,EAST LOOP,FWY,7900,,TRINITY,BLVD,PAVED,FALSE,PAVED,10/11/2018 14:54,FALSE,TRUE,"(0, 0)"
18-91223,,HARRINGTON,AVE,1000,NW,15TH,ST,,FALSE,,10/10/2018 21:35,FALSE,TRUE,"(32.77522, -97.35939)"
18-90849,,NORTH,FWY,2300,NE,LOOP 820 WB N FRWY NB,RAMP,,TRUE,,10/9/2018 17:25,FALSE,FALSE,"(32.84123, -97.31152)"
18-89407,,SOUTH,FWY,800,E,ROSEDALE,ST,,FALSE,,10/4/2018 21:15,FALSE,TRUE,"(32.73154, -97.32038)"
18-88746,,CROWLEY,RD,2000,,BETTIBART,ST,,FALSE,,10/3/2018 18:50,FALSE,TRUE,"(32.66236, -97.34848)"
18-91266,,EAST LOOP 820 SOUTH,FWY,5401,,SUN VALLEY,DR,,FALSE,,10/11/2018 5:45,FALSE,TRUE,"(0, 0)"
180093764,,AZLE,AVE,2600,,MACIE,AVE,,FALSE,,10/19/2018 20:14,FALSE,FALSE,"(32.80194, -97.38308)"
18-90836,,BOAT CLUB,RD,3001,,ROBERTSON,RD,,FALSE,,10/9/2018 16:36,FALSE,FALSE,"(32.85764, -97.42625)"
18-90842,,BRYANT IRVIN,RD,7400,,OAKMONT,BLVD,,FALSE,,10/9/2018 17:10,FALSE,FALSE,"(32.66423, -97.42119)"
18-90929,NW,23RD,ST,2226,,CHESTNUT,AVE,,TRUE,,10/9/2018 20:45,FALSE,TRUE,"(32.78617, -97.33777)"
18-90850,,MARTIN LUTHER KING,FWY,4595,,VILLAGE CREEK,RD,,FALSE,,10/9/2018 17:19,FALSE,FALSE,"(0, 0)"
180091474,S,RIVERSIDE,DR,1400,E,MULKEY,ST,,FALSE,,10/11/2018 18:09,FALSE,TRUE,"(32.71695, -97.30428)"
18-90942,,BLEDSOE,ST,1100,,NORWOOD,ST,,FALSE,,10/9/2018 22:45,FALSE,TRUE,"(32.74834, -97.36109)"
18-93537,,NORTHEAST LOOP 820,FWY,5400,,BLUE MOUND,RD,INTERSTATE,FALSE,LOCAL ROAD,10/19/2018 7:27,FALSE,FALSE,"(32.83947, -97.35583)"
18-95041,,ALTA MESA,BLVD,7100,,CHISHOLM,TRL,,TRUE,,10/24/2018 9:40,FALSE,FALSE,"(0, 0)"
18-95113,,WEST LOOP,HWY,9324,,CAMP BOWIE,BLVD,,FALSE,,10/24/2018 13:52,FALSE,FALSE,"(0, 0)"
180090745,,NORTH,FWY,3300,,FOSSIL CREEK,BLVD,,FALSE,,10/9/2018 12:20,FALSE,FALSE,"(32.85053, -97.31296)"
18-90804,N,BEACH,ST,4400,N,TARRANT,PKWY,,FALSE,,10/9/2018 15:20,FALSE,FALSE,"(32.89596, -97.28965)"
18-90821,W,SPURGEON,ST,4700,,COLLEGE,AVE,,FALSE,,10/9/2018 15:58,FALSE,FALSE,"(32.67895, -97.33335)"
18-90680,,WEST,FWY,1400,S,JENNINGS,,FREEWAY,FALSE,PUBLIC ROADWAY,10/9/2018 8:15,FALSE,FALSE,"(32.74481, -97.32798)"
18-93843,,INTERNATIONAL SB ST HWY 183 EB,RAMP,15000,,STATE HWY 183,,,FALSE,,10/19/2018 23:58,FALSE,FALSE,"(32.83861, -97.04155)"
18-90736,E,FREEWAY,,1300,,OAKLAND,BLVD,,FALSE,,10/9/2018 11:45,FALSE,FALSE,"(0, 0)"
180093130,,ARBORLAWN,DR,3400,,CHISHOLM TRAIL,PKWY,,TRUE,SERVICE ROAD,10/17/2018 17:40,FALSE,FALSE,"(32.69847, -97.40625)"
18-90606,,HWY 360,HWY,14001,,TRINITY,,,FALSE,,10/8/2018 22:00,FALSE,FALSE,"(0, 0)"
18-90624,S,FWY SB,,601,E,ROSEDALE,ST,,FALSE,,10/9/2018 1:00,FALSE,FALSE,"(0, 0)"
180090692,NE,LOOP 820,,4900,N,RAILHEAD,RD,,FALSE,,10/9/2018 9:02,FALSE,FALSE,"(0, 0)"
18-90582,E,LOOP,HWY,5380,,SUN VALLEY,DR,,FALSE,,10/8/2018 21:20,FALSE,FALSE,"(0, 0)"
18-90607,,WHITE SETTLEMENT,RD,9600,,CLIFFORD,ST,,TRUE,,10/8/2018 22:20,FALSE,TRUE,"(32.76229, -97.48458)"
180090623,N,MAIN,ST,100,NW,20TH,ST,,TRUE,,10/9/2018 1:00,FALSE,FALSE,"(0, 0)"
180094738,W,BERRY,ST,3100,,HEMPHILL,ST,,TRUE,,10/23/2018 11:13,FALSE,FALSE,"(32.70585, -97.33099)"
18-90252,,MONTAGUE,ST,3900,,NOLAN,ST,,FALSE,,10/8/2018 19:22,FALSE,TRUE,"(32.70516, -97.27465)"
18-93306,S,HENDERSON,ST,1000,,HENDERSON IH 30 EB,RAMP,,TRUE,ON-RAMP INTERSECTION,10/18/2018 11:49,FALSE,FALSE,"(32.75583, -97.34004)"
18-91297,S,EDERVILLE,RD,4200,,ARDEN,PL,,FALSE,,10/11/2018 8:50,FALSE,FALSE,"(32.74758, -97.26108)"
18-90588,,EAST,FWY,100,,IH 30 EB EASTCHASE,RAMP,,FALSE,,10/8/2018 21:10,FALSE,TRUE,"(32.76001, -97.16954)"
18-93343,E,LANCASTER,AVE,400,,CATHERINE,ST,CITY STREET,FALSE,CITY STREET,10/18/2018 13:49,FALSE,TRUE,"(32.74076, -97.24719)"
18-90540,,OAKMONT,BLVD,5900,,OAKMONT,TRL,,FALSE,,10/8/2018 18:27,FALSE,FALSE,"(32.66294, -97.40892)"
18-95063,,WESTCREEK,DR,2900,,ALTAMESA,BLVD,,FALSE,,10/24/2018 11:03,FALSE,FALSE,"(32.6501, -97.36072)"
180093681,,JACKSBORO,RAMP,6300,NW,LOOP 820,FWY,,TRUE,,10/19/2018 16:00,FALSE,FALSE,"(32.80657, -97.42176)"
18-90529,,MARK IV,PKWY,190,,NORTHEAST LOOP 820 WB MARK IV,RAMP,,TRUE,,10/8/2018 18:01,FALSE,FALSE,"(32.8378, -97.32117)"
180090353,,ASH MEADOW,DR,600,,DARLINGTON,TRL,,FALSE,,10/8/2018 18:20,FALSE,TRUE,"(32.88594, -97.34977)"
18-91719,,STATE HWY 183 WB ST HWY 360 SB,RAMP,14201,,STATE HWY 183,,,FALSE,,10/12/2018 15:30,FALSE,TRUE,"(0, 0)"
18-90539,,CALMONT,AVE,2700,,CHERRY,LN,,TRUE,,10/8/2018 18:51,FALSE,FALSE,"(32.73395, -97.44691)"
18-93316,,NORTH SOUTH,FWY,700,,MARTIN LUTHER KING,FWY,,FALSE,,10/18/2018 12:25,FALSE,FALSE,"(32.75899, -97.31876)"
18-90580,,EAST LOOP 820 SOUTH,,5400,,SUN VALLEY,DR,,FALSE,,10/8/2018 21:00,FALSE,FALSE,"(32.68007, -97.24104)"
18-94690,,PARKSIDE,TRL,4800,,BIRCHBEND,LN,,TRUE,,10/23/2018 7:40,FALSE,FALSE,"(32.87504, -97.27865)"
18-90522,,STATE HWY 121,HWY,100,,NORTH,FWY,,FALSE,,10/8/2018 17:51,FALSE,FALSE,"(0, 0)"
18-94770,W,CAMP BOWIE,BLVD,3300,,MARQUITA,DR,,TRUE,,10/23/2018 12:57,FALSE,FALSE,"(0, 0)"
18-94884,S,HULEN,ST,4400,W,RISINGER,RD,CONCRETE,TRUE,,10/24/2018 19:13,FALSE,FALSE,"(0, 0)"
180093385,,SOUTH,FWY,700,E,ROSEDALE,ST,,FALSE,,10/18/2018 16:28,FALSE,TRUE,"(32.73524, -97.32057)"
18-93532,,NORTH,FWY,1900,,WATAUGA,RD,,FALSE,,10/19/2018 6:03,FALSE,FALSE,"(32.79141, -97.3216)"
180095185,,MC CART,AVE,2500,,EDGECLIFF,RD,,FALSE,,10/24/2018 16:58,FALSE,FALSE,"(32.66171, -97.35604)"
18-88889,,SOUTHWEST,BLVD,3900,,DESERT RIDGE,DR,,FALSE,,10/3/2018 10:20,FALSE,TRUE,"(32.71513, -97.44253)"
18-88839,,CALMONT,AVE,2700,,KENLEY,ST,,FALSE,,10/3/2018 7:45,FALSE,TRUE,"(32.73387, -97.39046)"
18-93916,,BISHOP,ST,3300,,AVE J,AVE,,TRUE,,10/22/2018 10:30,FALSE,FALSE,"(32.72667, -97.2766)"
180093368,,PERSHING,AVE,2500,,HORNE,ST,,TRUE,,10/18/2018 15:48,FALSE,FALSE,"(32.73592, -97.40766)"
18-94851,,JOHN T WHITE,RD,1000,,JOHN T WHITE N,RD,,TRUE,,10/23/2018 17:04,FALSE,FALSE,"(32.76491, -97.17273)"
18-93524,NE,LOOP 820,LOOP,5200,,MARK IV,PKWY,,FALSE,,10/19/2018 5:46,FALSE,FALSE,"(32.84035, -97.33081)"
18-94643,,SYCAMORE SCHOOL,RD,8000,,CROWLEY,RD,,TRUE,,10/22/2018 22:19,FALSE,FALSE,"(32.63484, -97.34886)"
18-93534,,BOAT CLUB,RD,3100,,EAGLE RANCH,BLVD,,TRUE,,10/19/2018 7:17,FALSE,FALSE,"(32.87129, -97.42601)"
18-93542,N,FRWY,FWY,2800,,HERITAGE TRACE,PKWY,,FALSE,,10/19/2018 7:12,FALSE,FALSE,"(0, 0)"
18-95343,S,UNIVERSITY,DR,1500,,OLD UNIVERSITY,DR,LOCAL ROAD,FALSE,LOCAL ROAD,10/25/2018 7:52,FALSE,FALSE,"(32.73016, -97.36133)"
18-93804,,MANSFIELD,HWY,6400,,EAST LOOP 820 SOUTH SB MANSFIELD,,PUBLIC ROAD,TRUE,PUBLIC ROAD,10/19/2018 21:46,FALSE,FALSE,"(32.66607, -97.24263)"
18-95398,,EDWARDS RANCH,RD,5100,,CLEARFORK MAIN,ST,,FALSE,,10/25/2018 10:35,FALSE,FALSE,"(0, 0)"
18-93539,W,BELKNAP,ST,200,N,HENDERSON,ST,,TRUE,,10/19/2018 7:30,FALSE,FALSE,"(32.76111, -97.32611)"
18-95324,,UNIVERSITY,DR,3100,,SONDRA,DR,,FALSE,,10/25/2018 7:02,FALSE,TRUE,"(32.76247, -97.36107)"
18-93789,W,BERRY,ST,3100,,HEMPHILL,ST,,TRUE,,10/19/2018 18:40,FALSE,TRUE,"(32.70585, -97.33099)"
18-93538,,JACKSBORO,HWY,1800,,EPRIHAM,AVE,,TRUE,,10/19/2018 7:32,FALSE,FALSE,"(32.78689, -97.38503)"
18-93755,E,FREEWAY,FWY,8900,,RANDOL MILL,RD,US HIGHWAY,FALSE,LOCAL ROAD,10/19/2018 20:05,FALSE,FALSE,"(32.7603, -97.1619)"
180093766,,WEST,FWY,3800,,LINKCREST,DR,,FALSE,,10/19/2018 20:20,FALSE,FALSE,"(32.72086, -97.52531)"
18-93754,W,W IH 20 EB,FWY,5500,,CROWLEY,RD,,FALSE,,10/19/2018 20:02,FALSE,FALSE,"(32.66719, -97.34591)"
18-95417,S,UNIVERSITY,DR,2900,W,INTERSTATE,FWY,LOCAL ROAD,FALSE,INTERSTATE FREEWAY,10/25/2018 11:55,FALSE,FALSE,"(32.7333, -97.36137)"
180093744,,MEADOWBROOK,DR,2200,,HANDLEY,DR,PARKING LOT,FALSE,LOCAL ROAD,10/19/2018 19:16,FALSE,TRUE,"(32.74605, -97.21561)"
18-93737,E,4TH,ST,400,,COMMERCE,ST,,FALSE,,10/19/2018 19:28,FALSE,TRUE,"(32.75395, -97.33237)"
18-95134,,HEMPHILL,ST,700,,FELIKS GWOZDZ,PL,,FALSE,,10/24/2018 15:17,FALSE,FALSE,"(32.72881, -97.33158)"
18-90826,,WESLEYAN,ST,3100,,AVE G,,,FALSE,,10/8/2018 17:00,FALSE,TRUE,"(32.72937, -97.28109)"
18-95379,,CHERRY,LN,7900,,MARY DEAN,AVE,,TRUE,,10/25/2018 9:45,FALSE,FALSE,"(32.72779, -97.45085)"
18-95304,,HEMPHILL,ST,600,W,CAPPS,ST,,FALSE,,10/25/2018 2:39,FALSE,TRUE,"(32.71225, -97.33161)"
18-93777,W,W IH 20 FWY EB,,5500,,CROWLEY,RD,,FALSE,,10/19/2018 21:19,FALSE,FALSE,"(0, 0)"
18-93583,,INDEPENDENCE,PKWY,0,,INDEPENDENCE,PKWY,,FALSE,,10/19/2018 9:30,FALSE,FALSE,"(0, 0)"
18-93579,,GRAYSON,AVE,2400,,AZLE,AVE,,FALSE,,10/19/2018 9:45,FALSE,FALSE,"(32.79533, -97.37422)"
18-95346,,LUBBOCK,AVE,2600,W,BOLT ST,,,FALSE,2600 W BOLT ST,10/25/2018 8:00,FALSE,TRUE,"(32.68624, -97.35616)"
18-95440,,WEST,FWY,4601,,WEST,FWY,,FALSE,,10/25/2018 12:38,FALSE,TRUE,"(32.7331, -97.39065)"
18-93530,,MEACHAM,BLVD,4600,,DEEN,RD,,FALSE,,10/19/2018 6:48,FALSE,FALSE,"(32.82473, -97.32816)"
18-90254,,EAST LOOP 820,,6785,,BRIDGE,ST,,FALSE,,10/7/2018 21:04,FALSE,TRUE,"(32.77492, -97.21317)"
18-94039,,LANCASTER EB US HWY 287 SB,RAMP,2100,,I.M. TERRELL,WAY,,FALSE,,10/20/2018 20:56,FALSE,FALSE,"(32.7474, -97.31143)"
18-91758,,UNIVERSITY,DR,3100,W,LANCASTER,AVE,,TRUE,,10/12/2018 18:50,FALSE,FALSE,"(32.74788, -97.36194)"
18-90310,N,CRUMP,ST,900,NE,37TH,ST,,FALSE,,10/8/2018 0:15,FALSE,FALSE,"(32.81307, -97.3427)"
18-90008,,CAMPUS,DR,2101,E,SEMINARY,DR,PAVED ROAD,FALSE,PAVED ROAD,10/6/2018 21:38,FALSE,FALSE,"(32.68745, -97.29558)"
18-91662,,NORTH EAST,LOOP,0,,BLUE MOUND,RD,,FALSE,,10/12/2018 12:54,FALSE,FALSE,"(0, 0)"
18-90495,,PORTLAND,ST,1800,,DELGA,ST,,FALSE,,10/8/2018 16:00,FALSE,FALSE,"(32.77308, -97.32346)"
18-90283,,KELLER HASLET,RD,13000,,SE-HA-PAYAK,RD,,FALSE,,10/7/2018 21:47,FALSE,FALSE,"(32.96359, -97.25583)"
18-90483,,HULEN,ST,4600,,FLETCHER,AVE,,TRUE,,10/8/2018 15:56,FALSE,FALSE,"(32.69586, -97.39122)"
18-91568,,BOMBER,RD,8000,,SILVER CREEK,RD,,TRUE,,10/12/2018 6:00,FALSE,FALSE,"(0, 0)"
18-90474,W,LONG,AVE,3200,,ANGLE,AVE,,TRUE,,10/8/2018 15:32,FALSE,FALSE,"(32.80592, -97.33581)"
18-94373,,EAST,FWY,0,,COOKS,LN,,FALSE,,10/22/2018 5:44,FALSE,FALSE,"(32.75966, -97.19425)"
180095246,,WALDEN WOOD,LN,2600,,MOUNTAIN LION,DR,,FALSE,,10/24/2018 20:48,FALSE,TRUE,"(0, 0)"
18-94617,E,BERRY,ST,3091,,EVANS,AVE,,FALSE,,10/22/2018 21:00,FALSE,FALSE,"(32.70598, -97.33489)"
18-93868,W,ROSEDALE,ST,1000,S,JENNINGS,AVE,,TRUE,,10/20/2018 2:26,FALSE,FALSE,"(32.73313, -97.33029)"
10-95413,,RACE,ST,10155,,FOREST HILL EVERMAN,RD,PAED ROAD,FALSE,PAVED ROAD,10/25/2018 11:00,FALSE,FALSE,"(32.61144, -97.28712)"
18-95348,,WOLF MOUNTAIN,LN,10400,,OLD BURLESON,RD,,TRUE,,10/25/2018 7:56,FALSE,FALSE,"(32.60351, -97.31715)"
18-94990,,SOUTH FREEWAY,,400,E,SEMINARY,DR,INTERSTATE HWY,FALSE,,10/24/2018 7:18,FALSE,FALSE,"(32.68315, -97.32046)"
180095342,,SYCAMORE SCHOOL,RD,7900,,SHERIDAN,RD,,TRUE,,10/25/2018 7:37,FALSE,FALSE,"(32.635, -97.32483)"
18-94781,S,FWY,FWY,100,,ALTAMESA,BLVD,PAVED ROADWAY,FALSE,PAVED ROAD,10/23/2018 13:20,FALSE,FALSE,"(32.66324, -97.32119)"
18-95354,SE,IH20 FWY,FWY,1100,,OAK GROVE,RD,PAVED LANES,FALSE,PAVED ROAD,10/25/2018 8:40,FALSE,FALSE,"(32.66971, -97.30799)"
18-95111,,MC CART,AVE,2300,W,SEMINARY,DR,,FALSE,,10/24/2018 12:55,FALSE,FALSE,"(32.6846, -97.35309)"
180095006,,SOUTH FWY SR SB,,130,,SOUTHWEST LOOP 820 EB EXIT RAMP,,EXIT RAMP SOUTH FWY/I20 SR RAMP TO SOUTH,TRUE,,10/24/2018 8:05,FALSE,FALSE,"(32.66337, -97.32201)"
18-95103,W,RISINGER,RD,8600,W,COVE MEADOW,DR,PAVED ROADWAY,FALSE,PAVED,10/24/2018 13:00,FALSE,TRUE,"(32.61597, -97.37862)"
18-93965,,NORTH,FWY,2840,,HERITAGE TRACE,PKWY,,FALSE,,10/20/2018 16:00,FALSE,FALSE,"(32.90984, -97.31707)"
180093969,E,ROSEDALE,ST,1400,E,STALCUP,RD,,TRUE,,10/20/2018 15:57,FALSE,TRUE,"(32.73014, -97.23588)"
180094000,,BOAT CLUB,RD,6000,,MARINE MEADOWS,DR,,TRUE,,10/20/2018 16:18,FALSE,FALSE,"(32.82802, -97.42023)"
18-93852,,AIRPORT,FWY,500,,FAIRVIEW,ST,,FALSE,,10/20/2018 1:00,FALSE,FALSE,"(32.77072, -97.29586)"
18-93867,,SUMMERFIELDS,BLVD,7900,,BUTTONWOOD,DR,,FALSE,,10/20/2018 2:35,FALSE,FALSE,"(32.88567, -97.29721)"
18-93956,W,IH 20 FWY WB,FWY,4800,,GRANBURY,RD,,FALSE,,10/20/2018 15:37,FALSE,TRUE,"(32.67491, -97.38024)"
180093882,N,BEACH,ST,0,,BASSWOOD,BLVD,,FALSE,,10/20/2018 4:13,FALSE,FALSE,"(32.87346, -97.29005)"
18-94548,,LITSEY,RD,15400,,CLEVELAND GIBBS,RD,,FALSE,,10/22/2018 16:02,FALSE,FALSE,"(33.831, -97.27382)"
18-93951,,IH 20,,4700,,SOUTH,DR,,FALSE,,10/20/2018 15:04,FALSE,FALSE,"(32.88288, -97.29533)"
18-93848,NE,28TH,ST,2300,N,SYLVANIA,ST,,FALSE,,10/20/2018 0:15,FALSE,FALSE,"(32.79516, -97.30799)"
18-93873,,BASSWOOD,BLVD,0,N,RIVERSIDE,DR,,FALSE,,10/20/2018 3:40,FALSE,FALSE,"(32.87278, -97.30577)"
18-88920,,ALTA MERE,DR,7200,,ARBOR,AVE,MULTI-LANE DIVIDED HWY,TRUE,TWO-WAY STREET,10/3/2018 12:27,FALSE,FALSE,"(32.72526, -97.44087)"
18-88932,,CLIFFORD,ST,320,,CLIFFORD CENTER,DR,,FALSE,,10/3/2018 12:54,FALSE,FALSE,"(32.76565, -97.47836)"
18-89020,,NORTHWEST LOOP 820 FWY W,,4600,,MARINE CREEK,PKWY,,FALSE,,10/3/2018 17:20,FALSE,FALSE,"(32.82454, -97.38942)"
18-95161,,SOUTH,FWY,100,,SOUTHEAST LOOP 820,FWY,,FALSE,,10/24/2018 16:10,FALSE,FALSE,"(32.67036, -97.3206)"
18-94641,,IH 35W,,500,,E FELIX,ST,ROADWAY,FALSE,ROADWAY,10/22/2018 22:12,FALSE,FALSE,"(32.67608, -97.32052)"
18-94558,,RUTHERFORD,RD,16500,W,VICTORY,CIR,,FALSE,,10/20/2018 18:58,FALSE,FALSE,"(33.408, -97.28865)"
18-93985,,CENTREPORT,DR,14300,,CENTRE STATION,DR,LOCAL ROAD,TRUE,LOCAL ROAD,10/20/2018 17:20,FALSE,FALSE,"(32.82684, -97.5486)"
180094033,,WINIFRED,DR,5500,,VEGA,DR,,FALSE,,10/20/2018 19:23,FALSE,FALSE,"(32.66545, -97.36922)"
18-93840,,BRIDGE,ST,1100,,BLUE LAKE,DR,,TRUE,,10/19/2018 23:29,FALSE,TRUE,"(32.7594, -97.25445)"
18-94640,,UNIVERSITY,DR,3100,W,LANCASTER,AVE,,TRUE,,10/22/2018 22:22,FALSE,FALSE,"(32.74788, -97.36194)"
18-94591,E,LOOP 820,FWY,1100,,OAK GROVE,RD,CONCRETE,FALSE,,10/22/2018 18:47,FALSE,FALSE,"(0, 0)"
18-93357,E,NORTHSIDE,DR,1800,,NORTH PARK,DR,CONCRETE,TRUE,CONCRETE,10/18/2018 13:54,FALSE,TRUE,"(32.77808, -97.3408)"
180095389,,EAST LOOP 820 S,FWY,6000,,RAMEY,AVE,,FALSE,,10/25/2018 7:40,FALSE,TRUE,"(0, 0)"
18-94598,,OAKMONT,BLVD,6000,,HARRIS,PKWY,,TRUE,,10/22/2018 18:27,FALSE,FALSE,"(32.66184, -97.42149)"
18-95479,,SB RAMP,HWY,14100,,TRINITY,BLVD,,TRUE,,10/25/2018 15:12,FALSE,FALSE,"(0, 0)"
18-95361,,EASTCHASE,PKWY,8600,,ANDERSON,BLVD,MAIN ROAD,FALSE,MAIN ROAD,10/25/2018 7:50,FALSE,FALSE,"(32.76199, -97.16719)"
180095405,,AMON CARTER,BLVD,14700,,HWY 183,HWY,,TRUE,,10/25/2018 11:12,FALSE,FALSE,"(32.83153, -97.4913)"
18-95363,,WESTERN CENTER,BLVD,6600,,BAYBERRY,DR,,TRUE,,10/25/2018 9:04,FALSE,FALSE,"(32.86115, -97.30179)"
18-95287,NE,28TH,ST,2300,,CHANDLER DR W,DR,,FALSE,,10/25/2018 23:00,FALSE,TRUE,"(32.79516, -97.30356)"
18-95366,,RANDOL MILL,RD,8800,,CREEK RUN,RD,MAIN ROAD,FALSE,MAIN ROAD,10/25/2018 8:20,FALSE,FALSE,"(32.76286, -97.16157)"
18-95427,,ALLIANCE GATEWAY,FWY,13700,,PARK VISTA,BLVD,,TRUE,,10/25/2018 12:21,FALSE,FALSE,"(0, 0)"
18-95347,,SH 121,FWY,300,N,SYLVANIA,AVE,SH 121 FWY WB,FALSE,LOCAL ROAD,10/25/2018 7:43,FALSE,FALSE,"(0, 0)"
18-94793,NE,LOOP 820 EB IH 35W NB,RAMP,2400,,NORTHEAST LOOP 820 EB IH 35W SB,RAMP,,TRUE,,10/23/2018 14:29,FALSE,FALSE,"(0, 0)"
18-95100,,EAST LOOP 820,,6100,,GREENLEE,ST,,TRUE,,10/24/2018 13:01,FALSE,FALSE,"(0, 0)"
18-94035,,NORTH SOUTH,FWY,700,,US 287,,,FALSE,,10/20/2018 19:50,FALSE,TRUE,"(32.75345, -97.31981)"
18-91333,,MCCART,AVE,3400,,ALTAMESA,BLVD,,FALSE,,10/11/2018 10:56,FALSE,FALSE,"(0, 0)"
18-95218,,LOVING,AVE,1500,NW,31ST,ST,,FALSE,,10/24/2018 18:34,FALSE,TRUE,"(32.79808, -97.36578)"
18-92171,E,IH 20,FWY,5300,,MC CART,AVE,,FALSE,,10/14/2018 9:10,FALSE,TRUE,"(0, 0)"
18-95294,S,HULEN,ST,6200,,GRANBURY,RD,,TRUE,,10/25/2018 0:10,FALSE,TRUE,"(32.65984, -97.40026)"
18-90119,,GRANBURY,RD,3900,,BELDEN,AVE,,TRUE,,10/7/2018 9:56,FALSE,FALSE,"(32.67276, -97.38348)"
18-90554,,SOUTHWEST LOOP,FWY,5000,,TRAIL LAKE,DR,CONCRETE,FALSE,,10/8/2018 19:37,FALSE,FALSE,"(0, 0)"
18-91426,,GRANITE CREEK,DR,6300,,WHITE BLUFF,DR,,TRUE,,10/11/2018 16:15,FALSE,TRUE,"(32.84859, -97.42328)"
180093441,,IH 30 WB EXIT COOKS RAMP,,1300,,COOKS,LN,,TRUE,PAVED,10/18/2018 18:47,FALSE,FALSE,"(0, 0)"
18-90229,,SOUTH,FWY,800,E,ALLEN,AVE,,FALSE,,10/7/2018 19:40,FALSE,TRUE,"(32.71989, -97.32068)"
18-95322,,EAST,FWY,100,,IH30 EB IH35 SB & NB,RAMP,,FALSE,,10/25/2018 6:25,FALSE,FALSE,"(32.74499, -97.32417)"
18-95315,,MARTIN LUTHER KING,FWY,2600,,MITCHELL,BLVD,,FALSE,MITCHELL BLVD,10/25/2018 5:19,FALSE,FALSE,"(32.72613, -97.29739)"
18-95217,,WEST,FWY,3600,,LINKCREST,DR,,FALSE,,10/24/2018 18:54,FALSE,FALSE,"(32.72107, -97.53684)"
180095353,,TRINITY,BLVD,4000,,HWY 360,HWY,,FALSE,HWY 360,10/25/2018 7:15,FALSE,TRUE,"(32.82216, -97.6319)"
18-95224,,MEADOWBROOK,DR,2300,,EAST LOOP 820 SR SB,,CITY STREET,FALSE,SERVICE ROAD,10/24/2018 19:14,FALSE,FALSE,"(32.74608, -97.22493)"
18-88786,S,PIPELINE,RD,3500,,BELL,DR,,FALSE,,10/3/2018 22:41,FALSE,FALSE,"(32.81474, -97.13416)"
18-95235,,COUNTRY CREEK,RD,7700,,MCCART AVE,AVE,ASPHAULT,FALSE,,10/24/2018 19:46,FALSE,FALSE,"(0, 0)"
18-92651,,HWY157,,12300,,TRINITY,BLVD,MAIN ROAD,FALSE,MAIN ROAD,10/16/2018 8:15,FALSE,TRUE,"(32.81646, -97.09958)"
18-90130,W,ROSEDALE,ST,1000,,FOREST PARK,BLVD,,TRUE,,10/7/2018 11:51,FALSE,TRUE,"(32.73338, -97.35338)"
18-92622,,WEST,FWY,0,,FOREST PARK,BLVD,,TRUE,,10/16/2018 5:24,FALSE,FALSE,"(32.73945, -97.34955)"
